xpath, description, valueType, exampleValues, mappingRequired
/rss, https://www.rssboard.org/rss-draft-1#element-rss, n/a, n/a, no
/rss/channel, https://www.rssboard.org/rss-draft-1#element-channel, n/a, n/a, no
/rss/channel/item, https://www.rssboard.org/rss-draft-1#element-channel-item, xs:complexType, n/a, no
/rss/channel/item/@amg:itemType, Type of media item. Whether it a feature or an episode of series etc, xs:enumeration {Feature Episode}, "Feature", no
/rss/channel/item/amg:lang, Language of the media item as specified in https://www.ebu.ch/metadata/ontologies/skos/ebu_ISO639_1LanguageCodeCS.rdf, xs:anyUri, "http://www.ebu.ch/metadata/ontologies/skos/ebu_Iso639_1LanguageCS#_en", yes
/rss/channel/item/amg:assetId, Asset id assigned in the publisher's CMS, xs:string, "123456", no
/rss/channel/item/amg:broadcastDate, https://www.ebu.ch/metadata/ontologies/ebucore/ebucore_dateBroadcast.html, xs:date, "2019-01-01", yes
/rss/channel/item/amg:releaseDate, https://www.ebu.ch/metadata/ontologies/ebucore/ebucore_dateReleased.html, xs:date, "2020-02-01", yes
/rss/channel/item/amg:cuepoint, Identifies the cue point in seconds offset. Cue points are time instances where an ad can be inserted in the video. Value you either be SMPTE timecode offset or normal play time offset. Ref: https://www.ietf.org/rfc/rfc2326.txt Section3.5 and 3.6, xs:string, 60.320, no
/rss/channel/item/amg:segment, Identifies a segment inerval of a media item, xs:complexType, n/a, no
/rss/channel/item/amg:segment/@id, Start of the segment interval. Value can either be SMPTE timecode offset or normal play time offset. Ref: https://www.ietf.org/rfc/rfc2326.txt Section3.5 and 3.6. Also refer http://www.ebu.ch/metadata/ontologies/ebucore/ebucore#start, xs:string, n/a, no
/rss/channel/item/amg:segment/@start, Start of the segment interval. Value can either be SMPTE timecode offset or normal play time offset. Ref: https://www.ietf.org/rfc/rfc2326.txt Section3.5 and 3.6. Also refer http://www.ebu.ch/metadata/ontologies/ebucore/ebucore#start, xs:string, n/a, no
/rss/channel/item/amg:segment/@end, End of the segment interval. Value can either be SMPTE timecode offset or normal play time offset. Ref: https://www.ietf.org/rfc/rfc2326.txt Section3.5 and 3.6. Also refer http://www.ebu.ch/metadata/ontologies/ebucore/ebucore#end, xs:string, n/a, no
/rss/channel/item/amg:keyword, Highly relevant keywords describing the media object. Max 10 elements. amg:keyword is unlooped representation of media:keywords. Ref: https://www.rssboard.org/media-rss#media-keywords, xs:string, "prison", no
/rss/channel/item/amg:episodeNumber, Episode number of an episodic item in the season is season is present otherwise episode number in the series, xs:integer, 1, no
/rss/channel/item/amg:longDescription, Long description describing media object, xs:string, "movie on stock. Set in time persion 1929-1935", no
/rss/channel/item/amg:longDescription/@amg:lang, the language of the longDescription as specified in https://www.ebu.ch/metadata/ontologies/skos/ebu_ISO639_1LanguageCodeCS.rdf, xs:anyUri, "http://www.ebu.ch/metadata/ontologies/skos/ebu_Iso639_1LanguageCS#_en", yes
/rss/channel/item/amg:assetType, Asset Type of the title, xs:anyUri, "https://metadata.amagi.tv/skos/amagi_ebu_AssetTypeCS#_1.1.1 (Movie)", yes
/rss/channel/item/amg:genre, Genre of the media object. https://www.ebu.ch/metadata/ontologies/skos/ebu_ContentGenreCS.htm, xs:anyUri, "http://www.ebu.ch/metadata/ontologies/skos/ebu_ContentGenreCS#_3.4", yes
/rss/channel/item/amg:genre/@label, Label of the genre which is the same as the corresponding skos:prefLabel in https://www.ebu.ch/metadata/ontologies/skos/ebu_ContentGenreCS.rdf, xs:string, "Drama", no
/rss/channel/item/amg:externalId, Standard external ID of an asset as defined by 3rd party orgs like imdb eidr etc., xs:string, "tt3501074", no
