serial_number,role_id,role_label,role_alt_labels
1,5,ART DEPARTMENT,
2,5.1,Production Designer / Draughtsman / Draftsman,production designer|draughtsman|draftsman
3,5.2,Assistant Production Designer,
4,5.3,Art,
5,5.4,Sets,
6,5.5,Props / Properties,props|properties
7,5.6,Construction,
8,5.7,Scenic,
9,5.8,Greens,
10,5.9,Specialist Editors,
11,5.10,Special Effects (SFX),
12,5.3.1,Art Director,
13,5.3.2,Supervising Art Director,
14,5.3.3,Assistant Art Director,
15,5.3.4,Art Department Manager,
16,5.3.5,Art Department Coordinator,
17,5.3.6,Art Department Assistant,
18,5.3.7,Art Department Researcher,
19,5.3.8,Graphic Director,
20,5.4.1,Set Decorator / Set Designer,set decorator|set designer
21,5.4.2,Set Decorator Assistant,
22,5.4.3,Set Decoration Buyer,
23,5.4.4,Leadman / Leadperson / Set Supervisor,leadman|leadperson|set supervisor
24,5.4.5,Set Dresser,
25,5.4.6,Set Maker,
26,5.4.7,Set Painter,
27,5.5.1,Prop Manager / Prop Master / Property Manager / Property Master,prop manager|prop master|property manager|property master
28,5.5.2,Prop Buyer / Hirer / Property Buyer / Property Hirer,prop buyer|hirer|prop hirer|property buyer|property hirer
29,5.5.3,Prop Builder / Prop Maker / Property Builder / Property Maker,prop builder|prop maker|property builder|property maker
30,5.5.4,Prop Assistant / Property Assistant,prop assistant|property assistant
31,5.5.5,Armourer,
32,5.6.1,Construction Buyer,
33,5.6.2,Construction Coordinator / Construction Manager,construction coordinator|construction manager
34,5.6.3,Gang Boss / Foreman,gang boss|foreman
35,5.6.4,Swing Gang,
36,5.6.5,Laborer,
37,5.6.6,Lead Painter,
38,5.6.7,Paint Coordinator,
39,5.6.8,Paint Foreman,
40,5.6.9,Paint Labor,
41,5.6.10,Stand-by Painter,
42,5.6.11,Plaster Gang Boss,
43,5.6.12,Plaster Foreman,
44,5.6.13,Plasterer,
45,5.6.14,Draper,
46,5.6.15,Welder,
47,5.6.16,Sign Writer,
48,5.6.17,Tool Maintenance / Tool Person,tool maintenance|tool person
49,5.6.18,Manufacturer,
50,5.6.19,Head Carpenter,
51,5.6.20,Carpenter,
52,5.7.1,Scenic Designer,
53,5.7.2,Key Scenic Artist,
54,5.7.3,Scenic Artist / Painter,
55,5.7.4,Scenic Operative,
56,5.8.1,Greensman,
57,5.9.1,TV Graphic Designer,
58,5.9.2,Graphic Editor,
59,5.9.3,Graphic Designer,
60,5.9.4,Graphic Assistant,
61,5.9.5,Illustrator,
62,5.9.6,Layout Manager,
63,5.9.7,Layout Designer,
64,5.9.8,Layout Superviser,
65,5.9.9,Layout Artist,
66,5.9.10,Background Artist / Background Stylist / Background Painter,background artist|background stylist|background painter
67,5.9.11,Compositing Superviser,
68,5.9.12,Compositor / Compositing Artist,compositor|compositing artist
69,5.9.13,CG Lead,
70,5.9.14,CG Supervisor,
71,5.9.15,CG Artist / CG Designer,cg artist|cg designer
72,5.9.16,Dialogue Editor,
73,5.10.1,Special Effects (SFX) Assistant,
74,5.10.2,Special Effects (SFX) Supervisor,
75,5.10.3,Special Effects buyer,
76,5.10.4,Special Effects (SFX) Supervisor,
77,5.10.5,Special Effects (SFX) Coordinator,
78,5.10.6,Special Effects (SFX) Foreman,
79,5.10.7,Special Effects (SFX) Technician,
80,5.10.8,Special Effects (SFX) Hair,
81,5.10.9,Mechanical Special Effects (SFX),
82,5.10.10,Atmospheric Special Effects (SFX),
83,5.10.11,Electronic Special Effects (SFX),
84,5.10.12,Special Effects (SFX) Makeup Shop Supervisor,
85,5.10.13,Special Effects (SFX) Makeup Supervisor,
86,5.10.14,Special Effects (SFX) Makeup Coordinator,
87,5.10.15,Special Effects (SFX) Pre-visualisation,
88,5.10.16,Pyrotechnician,
89,5.10.17,Machinist,
90,5.10.18,Simulation and Effects Superviser,
91,5.10.19,Matte Artist / Bluescreen Editor,matte artist|bluescreen editor
