serial_number,genre_id,genre_label
1,3.2,SPORTS
2,3.2.1,Athletics
3,3.2.1.1,Field
4,3.2.1.1.1,Discus Throw
5,3.2.1.1.2,Hammer Throw
6,3.2.1.1.3,High Jump
7,3.2.1.1.4,Javelin Throw
8,3.2.1.1.5,Long Jump
9,3.2.1.1.6,Pole Vault
10,3.2.1.1.7,Triple Jump
11,3.2.1.1.8,Shot Put
12,3.2.1.2,Track
13,3.2.1.2.1,Track > Sprint
14,3.2.1.2.1.1,100 m
15,3.2.1.2.1.2,200 m
16,3.2.1.2.2,Middle Distance Running
17,3.2.1.2.2.1,400 m
18,3.2.1.2.2.2,800 m
19,3.2.1.2.2.3,1500 m
20,3.2.1.2.2.4,10000 m
21,3.2.1.2.3,Hurdles
22,3.2.1.2.3.1,110 m hurdles
23,3.2.1.2.3.2,400 m hurdles
24,3.2.1.2.4,Steeplechase
25,3.2.1.2.4.1,3000 m steeplechase
26,3.2.1.2.5,Track > Relay
27,3.2.1.2.5.1,4x100 m
28,3.2.1.2.5.2,4x400 m
29,3.2.1.3,Combined athletics
30,3.2.1.3.1,Heptatlon
31,3.2.1.3.2,Decathlon
32,3.2.1.4,Running
33,3.2.1.5,Athletics > Cross-country
34,3.2.1.6,Triathlon
35,3.2.1.7,Race walk
36,3.2.1.7.1,20 km walk
37,3.2.1.7.2,50 km walk
38,3.2.1.8,Race walk > Marathon
39,3.2.2,Cycling/Bicycle
40,3.2.2.1,Mountainbike
41,3.2.2.1.1,Mountainbike > Cross-country
42,3.2.2.1.2,Vtt
43,3.2.2.1.2.1,Vtt-cross
44,3.2.2.1.2.2,Vtt-downhill
45,3.2.2.1.2.3,Trial
46,3.2.2.2,Bicross
47,3.2.2.3,BMX
48,3.2.2.4,Indoor cycling
49,3.2.2.4.1,Team pursuit
50,3.2.2.4.2,Individual pursuit
51,3.2.2.4.3,Olympic sprint
52,3.2.2.4.4,Indoor cycling > Sprint
53,3.2.2.4.5,Keirin
54,3.2.2.4.6,Points race
55,3.2.2.4.7,Madison race
56,3.2.2.4.8,500 m time trial
57,3.2.2.4.9,1 km time trial
58,3.2.2.4.10,One hour
59,3.2.2.5,Road cycling
60,3.2.2.5.1,Individual road race
61,3.2.2.5.2,Individual time trial
62,3.2.2.5.3,Staging race
63,3.2.2.6,cyclo-cross
64,3.2.3,Team sports
65,3.2.3.1,Football (American)
66,3.2.3.2,Football (Australian)
67,3.2.3.3,Football (Gaelic)
68,3.2.3.4,Football (Indoor)
69,3.2.3.5,Beach soccer
70,3.2.3.6,Bandy
71,3.2.3.7,Baseball
72,3.2.3.7.1,Rubberball baseball
73,3.2.3.7.2,Little League
74,3.2.3.8,Basketball
75,3.2.3.9,Cricket
76,3.2.3.10,Croquet
77,3.2.3.11,Faustball
78,3.2.3.12,Football (Soccer)
79,3.2.3.13,Handball
80,3.2.3.14,Hockey
81,3.2.3.14.1,Hornuss
82,3.2.3.15,Korfball
83,3.2.3.16,Lacrosse
84,3.2.3.17,Netball
85,3.2.3.17.1,Swiss netball
86,3.2.3.17.2,German netball
87,3.2.3.17.3,Dutch netball
88,3.2.3.18,Roller skating
89,3.2.3.18.1,Roll hockey
90,3.2.3.19,Rugby
91,3.2.3.19.1,Rugby union
92,3.2.3.19.2,Rugby league
93,3.2.3.20,Softball
94,3.2.3.21,Volleyball
95,3.2.3.22,Beach volley
96,3.2.3.23,Hurling
97,3.2.3.24,Flying Disc/ Frisbee
98,3.2.3.24.1,Ultimate
99,3.2.3.24.2,Guts
100,3.2.3.24.3,Overall
101,3.2.3.24.4,Distance
102,3.2.3.24.5,Discathon
103,3.2.3.24.6,DDC
104,3.2.3.24.7,SCF
105,3.2.3.24.8,Flying Disc/ Frisbee > Freestyle
106,3.2.3.24.9,Accuracy
107,3.2.3.24.10,Disc golf
108,3.2.3.25,Kabadi
109,3.2.3.26,Camogie
110,3.2.3.27,Shinty
111,3.2.3.28,Street Soccer
112,3.2.4,Racket sports
113,3.2.4.1,Badminton
114,3.2.4.1.1,Badminton > Singles
115,3.2.4.1.2,Badminton > Doubles
116,3.2.4.1.3,Badminton > Doubles mixed
117,3.2.4.2,Racketball / Racquetball
118,3.2.4.3,Short tennis
119,3.2.4.4,Soft tennis
120,3.2.4.5,Squash
121,3.2.4.6,Table tennis
122,3.2.4.6.1,Table tennis > Singles
123,3.2.4.6.2,Table tennis > Team
124,3.2.4.7,Tennis
125,3.2.4.7.1,Tennis > Singles
126,3.2.4.7.2,Tennis > Doubles
127,3.2.4.7.3,Racket sports > Doubles mixed
128,3.2.5,Martial Arts
129,3.2.5.1,Aikido
130,3.2.5.2,Jai-alai
131,3.2.5.3,Judo
132,3.2.5.3.1,Judo > Heavyweight
133,3.2.5.3.2,Half-heavyweight
134,3.2.5.3.3,Middleweight
135,3.2.5.3.4,Half-middleweight
136,3.2.5.3.5,Judo > Lightweight
137,3.2.5.3.6,Half-lightweight
138,3.2.5.3.7,Extra lightweight
139,3.2.5.4,Ju-jitsu
140,3.2.5.5,Karate
141,3.2.5.6,Sumo
142,3.2.5.7,Sambo
143,3.2.5.8,Taekwondo
144,3.2.5.8.1,+80 kg Men
145,3.2.5.8.2,68 - 80 kg Men
146,3.2.5.8.3,58 - 68 kg Men
147,3.2.5.8.4,-58 kg Men
148,3.2.5.8.5,+67 kg Women
149,3.2.5.8.6,57 - 67 kg Women
150,3.2.5.8.7,49 - 57 kg Women
151,3.2.5.8.8,-49 kg Women
152,3.2.5.8.9,Kendo
153,3.2.5.8.10,Jukendo
154,3.2.5.8.11,Naginata
155,3.2.5.8.12,Kyudo
156,3.2.5.8.13,Sepak takraw
157,3.2.5.8.14,Wushu
158,3.2.6,Water sports
159,3.2.6.1,Bodyboarding
160,3.2.6.2,Yachting
161,3.2.6.3,Canoeing / Kayaking
162,3.2.6.3.1,Flatwater
163,3.2.6.3.1.1,C-1 1000 m
164,3.2.6.3.1.2,C-1 500 m
165,3.2.6.3.1.3,C-2 1000 m
166,3.2.6.3.1.4,C-2 500 m
167,3.2.6.3.1.5,K-1 1000 m
168,3.2.6.3.1.6,K-1 500 m
169,3.2.6.3.1.7,K-2 1000 m
170,3.2.6.3.1.8,K-2 500 m
171,3.2.6.3.1.9,K-4 1000 m
