serial_number,genre_id,genre_label
1,3.1,NON-FICTION/INFORMATION
2,3.1.1,News / Pure information
3,3.1.1.1,Daily news
4,3.1.1.1.1,Discussion
5,3.1.1.1.2,Interview
6,3.1.1.1.3,Daily news > Chat
7,3.1.1.1.4,Debate
8,3.1.1.2,Special news/edition
9,3.1.1.3,Special Report
10,3.1.1.4,Commentary
11,3.1.1.5,Periodical/General
12,3.1.1.6,National/National politics/National assembly
13,3.1.1.6.1,Government
14,3.1.1.6.2,Election
15,3.1.1.7,Economy/Market/Financial/Business
16,3.1.1.7.1,Economics advice / Investment
17,3.1.1.8,Foreign/International
18,3.1.1.8.1,Non-profit organisations
19,3.1.1.9,News / Pure information > Sports
20,3.1.1.10,Cultural
21,3.1.1.10.1,Cultural > Arts
22,3.1.1.10.2,Entertainment
23,3.1.1.10.2.1,Tabloid
24,3.1.1.10.3,Film
25,3.1.1.10.4,Cultural > Music
26,3.1.1.10.5,Cultural > Radio
27,3.1.1.10.6,TV
28,3.1.1.11,News / Pure information > Local/Regional
29,3.1.1.11.1,Local
30,3.1.1.11.2,Regional
31,3.1.1.12,Traffic
32,3.1.1.13,Weather forecasts
33,3.1.1.14,Service information
34,3.1.1.15,Public affairs
35,3.1.1.16,Current affairs
36,3.1.1.17,Consumer affairs
37,3.1.1.18,Warning
38,3.1.1.19,Survey
39,3.1.1.20,Infotainment
40,3.1.1.21,Advice
41,3.1.1.22,Debates / Conferences
42,3.1.1.23,Social affairs
43,3.1.1.23.1,Social issues
44,3.1.1.23.2,Social advisory
45,3.1.1.24,News / Pure information > Fashion
46,3.1.1.25,News magazine
47,3.1.1.26,Management
48,3.1.2,Religion/Philosophies/Spirituality
49,3.1.2.1,Religion
50,3.1.2.1.1,Buddhism
51,3.1.2.1.2,Hinduism
52,3.1.2.1.3,Christianity
53,3.1.2.1.4,Islam
54,3.1.2.1.5,Judaism
55,3.1.2.1.8,Shintoism
56,3.1.2.1.9,Baha'i
57,3.1.2.1.10,Confucianism
58,3.1.2.1.11,Jainism
59,3.1.2.1.12,Sikhism
60,3.1.2.1.13,Taoism
61,3.1.2.1.14,Vodun (Voodoo)
62,3.1.2.1.15,Asatru (Nordic Paganism)
63,3.1.2.1.16,Drudism
64,3.1.2.1.17,Goddess worship
65,3.1.2.1.18,Wicca
66,3.1.2.1.19,Witchcraft
67,3.1.2.1.20,Caodaism
68,3.1.2.1.21,Damanhur Community
69,3.1.2.1.22,Druse (Mowahhidoon)
70,3.1.2.1.23,Eckankar
71,3.1.2.1.24,Gnosticism
72,3.1.2.1.25,Rroma (Gypsies)
73,3.1.2.1.26,Hare Krishna and ISKCON
74,3.1.2.1.27,Lukumi (Santeria)
75,3.1.2.1.28,Macumba
76,3.1.2.1.29,Native American spirituality
77,3.1.2.1.30,New Age
78,3.1.2.1.31,Osho
79,3.1.2.1.32,Satanism
80,3.1.2.1.33,Scientology
81,3.1.2.1.34,Thelema
82,3.1.2.1.35,Unitarian-Universalism
83,3.1.2.1.36,The Creativity Movement
84,3.1.2.1.37,Zoroastrianism
85,3.1.2.1.38,Quakerism
86,3.1.2.1.39,Rastafarianism
87,3.1.2.1.40,Unificationism
88,3.1.2.1.41,Protestant
89,3.1.2.1.41.1,Lutheran
90,3.1.2.1.41.2,Reformed
91,3.1.2.1.41.3,Anglican
92,3.1.2.1.42,Methodist
93,3.1.2.1.43,Baptist
94,3.1.2.1.44,Mennonite
95,3.1.2.1.45,Mormon
96,3.1.2.1.46,Roman Catholic
97,3.1.2.1.47,Old Catholic
98,3.1.2.1.48,Orthodoxy
99,3.1.2.1.49,Parsasm
100,3.1.2.1.50,Juche Idea
101,3.1.2.1.51,Spiritism
102,3.1.2.1.52,Jehovah Witnesses
103,3.1.2.1.53,Tenrikyo
104,3.1.2.1.54,Neo-Paganism
105,3.1.2.2,Non-religious philosophies
106,3.1.2.2.1,Communism
