serial_number,genre_id,genre_label
1,3.6,MUSIC
2,3.6.0,Serious music
3,3.6.1,Classical music
4,3.6.1.1,Early
5,3.6.1.2,Classical music > Classical
6,3.6.1.3,Romantic
7,3.6.1.4,Contemporary
8,3.6.1.5,Light classical
9,3.6.1.6,Middle Ages
10,3.6.1.7,Renaissance
11,3.6.1.8,Baroque
12,3.6.1.9,Opera
13,3.6.1.10,Solo instruments
14,3.6.1.10.1,Drum Solo
15,3.6.1.11,Chamber
16,3.6.1.12,Symphonic
17,3.6.1.13,Vocal
18,3.6.1.14,Choral
19,3.6.1.15,Song
20,3.6.1.16,Orchestral
21,3.6.1.17,Organ
22,3.6.1.18,String Quartet
23,3.6.1.19,Experimental/Avant Garde
24,3.6.1.20,Sonata
25,3.6.2,Jazz
26,3.6.2.1,New Orleans/Early jazz
27,3.6.2.2,Big band/Swing/Dixie
28,3.6.2.3,Blues/Soul jazz
29,3.6.2.6,Cool
30,3.6.2.7,Modern/Avant-garde/Free
31,3.6.2.8,Latin and World jazz
32,3.6.2.9,Pop jazz/Jazz funk
33,3.6.2.10,Acid jazz/Fusion
34,3.6.2.11,Bop/Hard bop/Bebop/Postbop
35,3.6.2.12,Traditional/Smooth
36,3.6.2.13,Chorus
37,3.6.2.14,Groove
38,3.6.3,Background music
39,3.6.3.1,Middle-of-the-road
40,3.6.3.2,Easy listening
41,3.6.3.3,Ambient
42,3.6.3.4,Mood music/Meditative
43,3.6.3.5,Oldies
44,3.6.3.6,Love songs
45,3.6.3.7,Dance hall
46,3.6.3.8,Soundtrack
47,3.6.3.9,Trailer
48,3.6.3.10,Showtunes
49,3.6.3.11,TV
50,3.6.3.12,Cabaret
51,3.6.3.13,Instrumental
52,3.6.3.14,Sound clip
53,3.6.3.15,Retro
54,3.6.3.16,Space
55,3.6.3.17,Dream
56,3.6.3.18,Comedy
57,3.6.3.19,Humour
58,3.6.3.20,Psychedelic
59,3.6.4,Pop-rock
60,3.6.4.1,Pop
61,3.6.4.1.1,UK Pop
62,3.6.4.1.2,JPop
63,3.6.4.1.3,Soft pop
64,3.6.4.1.4,Pop Folk
65,3.6.4.1.5,Pop Funk
66,3.6.4.1.6,Instrumental Pop
67,3.6.4.2,Chanson/Ballad
68,3.6.4.2.1,Power Ballad
69,3.6.4.2.2,Japanese ballads / Enka
70,3.6.4.3,Traditional rock and roll
71,3.6.4.5,Classic/Dance/Pop-rock
72,3.6.4.6,Folk
73,3.6.4.6.1,Zydeco
74,3.6.4.8,New Age
75,3.6.4.11,Seasonal/Holiday
76,3.6.4.12,Japanese pop-rock
77,3.6.4.13,Karaoke/Singing contests
78,3.6.4.14,Rock
79,3.6.4.14.1,AOR / Slow Rock / Soft Rock
80,3.6.4.14.2,Metal
81,3.6.4.14.2.1,Metal > Death Metal
82,3.6.4.14.2.2,Heavy Metal
83,3.6.4.14.2.3,Metal > Black Metal
84,3.6.4.14.2.4,Trash Metal
85,3.6.4.14.3,Glam Rock
